City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
6,Georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
7,Nicoya,CR,87.35,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
10,Kupang,ID,80.44,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
11,San Patricio,US,72.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
16,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
20,Chahal,GT,77.72,overcast clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
22,Ixtapa,MX,85.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
24,Rikitea,PF,73.35,clear sky,-23.1203,-134.9692,People ThankYou
25,Lucea,JM,84.85,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
30,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
31,Rio Tercero,AR,86.7,few clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
37,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
39,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
41,French Harbor,HN,84.2,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
43,Conceicao Do Araguaia,BR,82.42,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
49,Makasar,ID,78.75,overcast clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
51,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
54,Vieques,PR,84.9,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
56,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Sumbe,AO,78.04,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
59,Kudahuvadhoo,MV,82.31,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
61,Acajutla,SV,86.38,overcast clouds,13.5928,-89.8275,asi es
64,Kandri,IN,72.97,overcast clouds,21.4167,79.2667,OYO 69410 Sip & Bite Restaurant N Lodging
65,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
66,Butaritari,KI,82.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
71,Gifford,US,79.05,mist,27.6753,-80.4092,SpringHill Suites by Marriott Vero Beach
80,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
81,Faanui,PF,80.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Atar,MR,80.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
85,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
93,Sur,OM,73.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
96,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
98,Antalaha,MG,72.59,light rain,-14.9003,50.2788,Hotel Vitasoa
100,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
101,Abulug,PH,78.78,overcast clouds,18.4453,121.4533,Amayun Mini-Farm - Cagayan
104,Tautira,PF,87.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
106,Namibe,AO,72.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
111,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
113,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
118,Banda Aceh,ID,78.89,light rain,5.5577,95.3222,Sulthan Hotel International
120,Sal Rei,CV,75.76,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
130,Atuona,PF,78.15,few clouds,-9.8,-139.0333,Villa Enata
135,Natal,BR,84.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
137,Weligama,LK,77.61,overcast clouds,5.9667,80.4167,Weligama Bay Resort
140,Trairi,BR,81.54,clear sky,-3.2778,-39.2689,janelas do mar
143,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
151,Bosaso,SO,74.97,broken clouds,11.2842,49.1816,Red Sea Hotel
153,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
160,Hobyo,SO,79.3,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
164,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
174,Juan Lacaze,UY,77.11,clear sky,-34.4342,-57.4381,Posada Agreste
179,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
182,Innisfail,AU,77.85,overcast clouds,-17.5333,146.0333,Moondarra Motel
186,Montevideo,UY,74.82,clear sky,-34.8335,-56.1674,KOLPING Hotel
192,Inhambane,MZ,74.07,overcast clouds,-23.865,35.3833,Oceano
194,Manicore,BR,82.58,scattered clouds,-5.8092,-61.3003,Hotel Durval
195,Satipo,PE,75.47,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
196,Farafangana,MG,73.53,clear sky,-22.8167,47.8333,Miarina
198,Kalmunai,LK,78.08,overcast clouds,7.4167,81.8167,VS Villa
200,Toma,BF,82.31,scattered clouds,12.7667,-2.8833,Auberge de l'amitié
201,Benguela,AO,78.62,broken clouds,-12.5763,13.4055,Hotel Praia Morena
204,Mitsamiouli,KM,79.34,clear sky,-11.3847,43.2844,Foyer ADM
206,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
208,San Luis Rio Colorado,MX,82.04,overcast clouds,32.4631,-114.7767,María Isabel Hernández Jiménez José de
210,San Policarpo,PH,78.48,broken clouds,12.1791,125.5072,Agapita M. Nicart
215,Abu Dhabi,AE,77.02,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
217,Colombo,LK,80.55,broken clouds,6.9319,79.8478,Galle Face Hotel
218,Arica,CL,76.55,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
219,Santa Maria,BR,78.1,few clouds,-29.6842,-53.8069,Hotel Morotin
226,Rocha,UY,74.37,broken clouds,-34.4833,-54.3333,Hotel Arrarte
228,Esmeralda,CU,83.59,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
247,Kampot,KH,77.56,broken clouds,10.6167,104.1833,Two Moons Hotel
250,Voh,NC,78.35,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
255,Harper,LR,80.51,clear sky,4.375,-7.7169,Screensaver
260,Bousse,BF,81.97,clear sky,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
264,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
265,Labuhan,ID,76.57,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
266,Cabo San Lucas,MX,86.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
271,Hambantota,LK,77.67,broken clouds,6.1241,81.1185,Bungalow 63
272,Victoria,HK,74.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
273,Penalva,BR,84.69,overcast clouds,-3.2942,-45.1736,Hotel São José
275,Ondjiva,AO,81.5,scattered clouds,-17.0667,15.7333,COMBUESA
277,Bilma,NE,79.81,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
279,Mormugao,IN,76.26,mist,15.4,73.8,Coconut Creek Resort
280,Bahia Honda,CU,79.95,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
286,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
290,Mpulungu,ZM,75.7,broken clouds,-8.7623,31.1141,Chela moche guest house
291,Les Cayes,HT,83.48,scattered clouds,18.2,-73.75,Villa Orphee
293,Nikki,BJ,80.51,clear sky,9.9401,3.2108,Hotel John
295,Vanimo,PG,78.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
305,Veraval,IN,77.36,overcast clouds,20.9,70.3667,Lords Inn Somnath
307,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
310,Bontang,ID,76.93,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
317,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
318,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
320,Sao Filipe,CV,79.09,overcast clouds,14.8961,-24.4956,Hotel Xaguate
321,Tubuala,PA,84.33,few clouds,9.5167,-79.0333,Río Nabagana
323,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
327,Porto Walter,BR,78.87,very heavy rain,-8.2686,-72.7439,Secretaria de saúde
328,Coahuayana,MX,88.29,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
329,Gingoog,PH,73.94,broken clouds,8.8243,125.1042,Gingoog Mountain Air Hotel
330,Huai Mek,TH,78.98,overcast clouds,16.5898,103.2355,บ้านของกุ๊กกิ๊ก
332,Buala,SB,82.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
335,Port-Gentil,GA,79.59,moderate rain,-0.7193,8.7815,Fengshui Residence
339,Wajir,KE,84.09,few clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
340,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
341,Sinnamary,GF,79.92,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
343,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
347,Vaitape,PF,80.11,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
350,Camopi,GF,76.8,overcast clouds,3.1655,-52.3158,La pousada
352,Vila Velha,BR,78.75,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
357,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
364,Coronado,US,75.96,broken clouds,32.6859,-117.1831,El Cordova Hotel
371,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
375,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
376,Matara,LK,77.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
388,Eirunepe,BR,78.96,overcast clouds,-6.6603,-69.8736,Atrás de você
390,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
392,Tanga,TZ,76.84,few clouds,-5.0667,39.1,Lulu Image Hotel
393,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
399,Acala,MX,80.73,broken clouds,16.5667,-92.8,Hotel Jesus Acala
401,Ormara,PK,73.38,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
414,Kavieng,PG,81.21,light rain,-2.5744,150.7967,Nusa Island Retreat
417,Alenquer,BR,86.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
418,Ahuimanu,US,84.78,broken clouds,21.4447,-157.8378,Paradise Bay Resort
420,Axim,GH,79.16,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
430,Kulhudhuffushi,MV,81.27,broken clouds,6.6221,73.07,Haajy Guest House 1
432,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
436,Rawson,AR,78.17,clear sky,-43.3002,-65.1023,Hosteria Sampedro
437,Aneho,TG,84.4,clear sky,6.2333,1.6,Hotel La Linette
438,Auki,SB,80.29,overcast clouds,-8.7676,160.7034,Auki Motel
440,Hirara,JP,76.35,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
442,Itamaraca,BR,83.08,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
452,Puerto Escondido,MX,85.26,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
454,Padang,ID,77.56,moderate rain,-0.9492,100.3543,Mercure Padang
458,Salem,IN,72.01,broken clouds,11.65,78.1667,YMCA PROGRAM CENTRE
459,Blackwater,AU,72.3,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
463,Contamana,PE,82.96,light rain,-7.3333,-75.0167,Shiringal Touristic Park
465,Cavalcante,BR,73.87,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
468,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
472,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
473,Belo Oriente,BR,73.8,overcast clouds,-19.22,-42.4836,Hotel Dona Fia
474,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
483,Anyama,CI,81.41,few clouds,5.4946,-4.0518,Hotel la Residence des Hotes
486,Manokwari,ID,78.44,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
487,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
488,Tecoanapa,MX,83.19,clear sky,16.5167,-98.75,Hotel Manglares
515,Badiraguato,MX,88.7,clear sky,25.3667,-107.5167,"Hotel ""Real Del Campo"""
520,Jeremie,HT,82.42,broken clouds,18.65,-74.1167,Auberge’Inn
523,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
525,Ugoofaaru,MV,81.1,broken clouds,5.6667,73.0,Ungoofaaru Inn
529,Iracoubo,GF,79.88,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
531,Bambanglipuro,ID,74.98,overcast clouds,-7.95,110.2833,Puri Brata
532,Diego De Almagro,CL,75.33,clear sky,-26.3667,-70.05,hotel luna del desierto
533,Kyaikkami,MM,80.98,moderate rain,16.08,97.5675,St. joseph catholic church
535,Sao Felix Do Xingu,BR,82.9,broken clouds,-6.6447,-51.995,Rio Xingu Camping
537,Noumea,NC,77.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
546,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
548,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
550,Tuy Hoa,VN,74.98,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
551,Roebourne,AU,79.09,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
554,Aquiraz,BR,86.22,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
558,Manali,IN,80.69,overcast clouds,13.1667,80.2667,Sarathy Lodge
562,Lorengau,PG,80.83,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
576,Tahoua,NE,81.75,few clouds,14.8888,5.2692,Bungalows Guesthouse
581,Port Blair,IN,80.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
584,Pauini,BR,74.39,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
586,Sokoto,NG,84.22,clear sky,13.0609,5.239,Shukura Coral Hotel
589,Acapulco,MX,83.95,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
593,Byron Bay,AU,74.05,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
596,Amahai,ID,78.12,few clouds,-3.3333,128.9167,HOTEL ISABELA
597,Maxixe,MZ,73.56,overcast clouds,-23.8597,35.3472,Oceano
598,Kloulklubed,PW,83.91,few clouds,7.0419,134.2556,Storyboard Beach Resort
602,Amudat,UG,74.86,scattered clouds,1.95,34.95,Silent Night Hotel
613,Pyapon,MM,75.24,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
615,Pitimbu,BR,81.09,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
619,Entre Rios,BR,76.32,broken clouds,-11.9419,-38.0844,Jambalaya Pousada
620,Pizarro,CO,77.67,light rain,4.9533,-77.366,Hotel Limonar
624,Meulaboh,ID,75.79,overcast clouds,4.1363,96.1285,Kost Pria
628,Dabeiba,CO,76.77,broken clouds,7.0017,-76.2672,Hotel Cactus
629,Guhagar,IN,76.8,overcast clouds,17.4842,73.1929,Hotel Seawinds
630,Namatanai,PG,79.41,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
631,Karratha,AU,78.89,light rain,-20.7377,116.8463,ibis Styles Karratha
645,Kassala,SD,81.16,clear sky,15.451,36.4,Amassi Hotel Gash
647,Sao Jose Da Coroa Grande,BR,79.77,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
649,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
650,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
653,Botro,CI,80.47,clear sky,7.8525,-5.3106,Motel de la Station BOTRO
655,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
656,Kavaratti,IN,81.64,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
661,Alamos,MX,84.72,clear sky,27.0167,-108.9333,Luz del Sol
663,Bubaque,GW,83.93,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
665,Mumford,GH,80.65,clear sky,5.2618,-0.759,Spanish Villa
666,San Rafael,AR,85.95,clear sky,-34.6177,-68.3301,Hotel San Rafael
675,Itaborai,BR,74.8,overcast clouds,-22.7444,-42.8594,Promenade Prime Itaboraí
676,Kouroussa,GN,77.94,clear sky,10.65,-9.8833,Hotel Paillote
678,Encantado,BR,75.06,broken clouds,-29.2361,-51.8697,Tri Hotel Encantado
679,Muli,MV,82.06,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
681,Igbo Ora,NG,78.13,clear sky,7.4333,3.2833,Pinkbell Inn
685,Salcedo,PH,77.59,overcast clouds,12.8105,121.4674,Yamaji Freeman Farm
686,Fare,PF,79.77,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
691,Nabire,ID,74.82,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
692,Paita,PE,73.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
